name,video,start,end,speaker,orth,translation
19November_2011_Saturday_tagesschau-3691,19November_2011_Saturday_tagesschau-3691/1/*.png,-1,-1,Signer04,WIND SCHWACH BERG MAESSIG,der wind weht morgen nur schwach im bergland auch mal mäßig
14June_2010_Monday_tagesschau-3702,14June_2010_Monday_tagesschau-3702/1/*.png,-1,-1,Signer03,WIND SCHWACH MAESSIG,der wind weht schwach bis mäßig
24January_2011_Monday_tagesschau-3717,24January_2011_Monday_tagesschau-3717/1/*.png,-1,-1,Signer01,VORSICHT GLATT,vorsicht glätte
05May_2011_Thursday_heute-3739,05May_2011_Thursday_heute-3739/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
23February_2011_Wednesday_heute-3765,23February_2011_Wednesday_heute-3765/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
13January_2010_Wednesday_tagesschau-3825,13January_2010_Wednesday_tagesschau-3825/1/*.png,-1,-1,Signer04,VORSICHT GLATT,vorsicht wegen glätte
14February_2010_Sunday_tagesschau-3841,14February_2010_Sunday_tagesschau-3841/1/*.png,-1,-1,Signer09,VORSICHT GLATT,vorsicht wegen glätte
12September_2010_Sunday_tagesschau-3916,12September_2010_Sunday_tagesschau-3916/1/*.png,-1,-1,Signer01,WIND WEHEN,morgen weht ein schwacher bis mäßiger wind aus westlichen richtungen
12September_2010_Sunday_tagesschau-3921,12September_2010_Sunday_tagesschau-3921/1/*.png,-1,-1,Signer01,ABER BLEIBEN TROCKEN,dabei bleibt es recht mild
04May_2011_Wednesday_heute-3987,04May_2011_Wednesday_heute-3987/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
08April_2010_Thursday_heute-4013,08April_2010_Thursday_heute-4013/1/*.png,-1,-1,Signer05,SCHOEN ABEND TSCHUESS,jetzt wünsche ich ihnen noch einen schönen abend
07October_2010_Thursday_tagesschau-4124,07October_2010_Thursday_tagesschau-4124/1/*.png,-1,-1,Signer05,SONST REGION FREUNDLICH,ansonsten erwartet uns ein recht freundlicher herbsttag
08December_2009_Tuesday_heute-4222,08December_2009_Tuesday_heute-4222/1/*.png,-1,-1,Signer02,SCHOEN ABEND TSCHUESS,ich wünsche ihnen einen schönen abend und machen sie es gut
29September_2011_Thursday_heute-4223,29September_2011_Thursday_heute-4223/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
13July_2010_Tuesday_tagesschau-4312,13July_2010_Tuesday_tagesschau-4312/1/*.png,-1,-1,Signer01,WIND SCHWACH MAESSIG KOMMEN,schwacher bis mäßiger an der see auch frischer wind aus süd bis südost
01April_2010_Thursday_tagesschau-4327,01April_2010_Thursday_tagesschau-4327/1/*.png,-1,-1,Signer04,VORSICHT GLATT,vorsicht wegen glätte
01July_2009_Wednesday_tagesschau-4558,01July_2009_Wednesday_tagesschau-4558/1/*.png,-1,-1,Signer09,SCHWACH WEHEN,sonst meist schwacher wind aus nord bis nordost
01February_2011_Tuesday_heute-4629,01February_2011_Tuesday_heute-4629/1/*.png,-1,-1,Signer08,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
22November_2011_Tuesday_heute-4644,22November_2011_Tuesday_heute-4644/1/*.png,-1,-1,Signer07,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
07February_2011_Monday_heute-4670,07February_2011_Monday_heute-4670/1/*.png,-1,-1,Signer07,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
12December_2009_Saturday_tagesschau-4731,12December_2009_Saturday_tagesschau-4731/1/*.png,-1,-1,Signer04,WIND SCHWACH MAESSIG WEHEN,der wind weht schwach bis mäßig aus nordost
09December_2009_Wednesday_heute-4738,09December_2009_Wednesday_heute-4738/1/*.png,-1,-1,Signer02,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
09December_2009_Wednesday_heute-4757,09December_2009_Wednesday_heute-4757/1/*.png,-1,-1,Signer02,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend und machen sie es gut
13July_2010_Tuesday_heute-4821,13July_2010_Tuesday_heute-4821/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,ihnen einen schönen abend und machen sie es gut
01August_2011_Monday_heute-4848,01August_2011_Monday_heute-4848/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
01August_2011_Monday_heute-4857,01August_2011_Monday_heute-4857/1/*.png,-1,-1,Signer07,BISSCHEN NEBEL,wir haben ein paar nebelfelder
05April_2011_Tuesday_heute-5117,05April_2011_Tuesday_heute-5117/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER poss-EUCH GUT ABEND,liebe zuschauer guten abend
28April_2010_Wednesday_heute-5181,28April_2010_Wednesday_heute-5181/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,guten abend liebe zuschauer
28April_2010_Wednesday_heute-5198,28April_2010_Wednesday_heute-5198/1/*.png,-1,-1,Signer03,SCHOEN ABEND WUENSCHEN,ihnen noch einen schönen abend und machen sie es gut
23August_2010_Monday_heute-5315,23August_2010_Monday_heute-5315/1/*.png,-1,-1,Signer08,ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
19April_2011_Tuesday_heute-5332,19April_2011_Tuesday_heute-5332/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
19April_2011_Tuesday_heute-5344,19April_2011_Tuesday_heute-5344/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ich wünsche noch einen schönen abend
18January_2011_Tuesday_heute-5463,18January_2011_Tuesday_heute-5463/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
18January_2011_Tuesday_heute-5478,18January_2011_Tuesday_heute-5478/1/*.png,-1,-1,Signer07,SCHOEN ABEND poss-EUCH MACHEN GUT,ihnen schönen abend und machen sie es gut
06October_2011_Thursday_heute-5548,06October_2011_Thursday_heute-5548/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend
17May_2010_Monday_heute-5562,17May_2010_Monday_heute-5562/1/*.png,-1,-1,Signer08,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
26October_2010_Tuesday_tagesschau-5795,26October_2010_Tuesday_tagesschau-5795/1/*.png,-1,-1,Signer01,REGEN KOENNEN,dort regnet oder schauert es hier und da
12December_2011_Monday_heute-5799,12December_2011_Monday_heute-5799/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
14July_2011_Thursday_heute-5868,14July_2011_Thursday_heute-5868/1/*.png,-1,-1,Signer08,SCHOEN ABEND TSCHUESS,schönen abend noch für sie und tschüss
11May_2010_Tuesday_heute-5985,11May_2010_Tuesday_heute-5985/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
11May_2010_Tuesday_heute-5996,11May_2010_Tuesday_heute-5996/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,ihnen einen schönen abend und machen sie es gut
25August_2010_Wednesday_heute-5997,25August_2010_Wednesday_heute-5997/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,liebe zuschauer guten abend
24May_2011_Tuesday_heute-6073,24May_2011_Tuesday_heute-6073/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH,das war es für heute schönen abend noch
24September_2009_Thursday_heute-6075,24September_2009_Thursday_heute-6075/1/*.png,-1,-1,Signer05,GUT ABEND BEGRUESSEN,und damit schönen guten abend
14July_2010_Wednesday_heute-6179,14July_2010_Wednesday_heute-6179/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
06December_2010_Monday_heute-6213,06December_2010_Monday_heute-6213/1/*.png,-1,-1,Signer07,SCHOEN ABEND WUENSCHEN,schönen abend noch
21April_2010_Wednesday_tagesschau-6233,21April_2010_Wednesday_tagesschau-6233/1/*.png,-1,-1,Signer08,WIND WEHEN SCHWACH MAESSIG WEHEN,schwacher bis mäßiger wind der im südwesten aus nordost im nordosten aus west kommt
23February_2010_Tuesday_heute-6239,23February_2010_Tuesday_heute-6239/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
23February_2010_Tuesday_heute-6255,23February_2010_Tuesday_heute-6255/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT WUENSCHEN,ich wünsche ihnen noch einen schönen abend und machen sie es gut
24July_2010_Saturday_tagesschau-6337,24July_2010_Saturday_tagesschau-6337/1/*.png,-1,-1,Signer04,IX KLAR,sonst klart es mancherorts auf
24March_2011_Thursday_heute-6372,24March_2011_Thursday_heute-6372/1/*.png,-1,-1,Signer05,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
12January_2011_Wednesday_heute-6383,12January_2011_Wednesday_heute-6383/1/*.png,-1,-1,Signer05,GUT-ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
12January_2011_Wednesday_heute-6399,12January_2011_Wednesday_heute-6399/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ich wünsche ihnen noch einen schönen abend und machen sie es gut
04July_2011_Monday_heute-6453,04July_2011_Monday_heute-6453/1/*.png,-1,-1,Signer07,SCHOEN ABEND NOCH poss-EUCH,schönen abend noch
23September_2010_Thursday_heute-6468,23September_2010_Thursday_heute-6468/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
23September_2010_Thursday_heute-6485,23September_2010_Thursday_heute-6485/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT poss-EUCH,ich wünsche ihnen einen schönen abend und machen sie es gut
20June_2011_Monday_heute-6524,20June_2011_Monday_heute-6524/1/*.png,-1,-1,Signer07,SCHOEN ABEND NOCH poss-EUCH,schönen abend noch
26August_2009_Wednesday_heute-6539,26August_2009_Wednesday_heute-6539/1/*.png,-1,-1,Signer01,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
12September_2009_Saturday_tagesschau-6599,12September_2009_Saturday_tagesschau-6599/1/*.png,-1,-1,Signer04,NORD WIND,im norden ist es windig
01June_2010_Tuesday_heute-6618,01June_2010_Tuesday_heute-6618/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ich wünsche ihnen noch einen schönen abend
24February_2011_Thursday_heute-6664,24February_2011_Thursday_heute-6664/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
24February_2011_Thursday_heute-6679,24February_2011_Thursday_heute-6679/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen noch einen schönen abend und machen sie es gut
01April_2010_Thursday_heute-6694,01April_2010_Thursday_heute-6694/1/*.png,-1,-1,Signer04,LIEB ZUSCHAUER ABEND,liebe zuschauer guten abend
23July_2009_Thursday_tagesschau-6764,23July_2009_Thursday_tagesschau-6764/1/*.png,-1,-1,Signer01,SONNTAG VIEL SONNE,am sonntag viel sonne
02June_2010_Wednesday_heute-6781,02June_2010_Wednesday_heute-6781/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
02June_2010_Wednesday_heute-6797,02June_2010_Wednesday_heute-6797/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,ihnen einen schönen abend und machen sie es gut
08November_2010_Monday_heute-6887,08November_2010_Monday_heute-6887/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
10August_2009_Monday_heute-6888,10August_2009_Monday_heute-6888/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
10August_2009_Monday_heute-6907,10August_2009_Monday_heute-6907/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,damit wünsche ich ihnen jetzt noch einen schönen abend
24January_2011_Monday_heute-6972,24January_2011_Monday_heute-6972/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
24January_2011_Monday_heute-6986,24January_2011_Monday_heute-6986/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,ich wünsche ihnen noch einen schönen abend und machen sie es gut
11May_2011_Wednesday_tagesschau-7016,11May_2011_Wednesday_tagesschau-7016/1/*.png,-1,-1,Signer05,ORT NEBEL,stellenweise bildet sich nebel
29November_2009_Sunday_tagesschau-7046,29November_2009_Sunday_tagesschau-7046/1/*.png,-1,-1,Signer03,WIND SCHWACH MAESSIG KOMMEN,der wind weht meist nur schwach bis mäßig
02June_2010_Wednesday_tagesschau-7157,02June_2010_Wednesday_tagesschau-7157/1/*.png,-1,-1,Signer01,SCHON WARNUNG DEUTSCH WETTER DIENST,es gelten entsprechende warnungen des deutschen wetterdienstes
13September_2010_Monday_heute-7183,13September_2010_Monday_heute-7183/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,und das war es für heute schönen abend noch
24January_2013_Thursday_heute-7253,24January_2013_Thursday_heute-7253/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
29July_2010_Thursday_tagesschau-7424,29July_2010_Thursday_tagesschau-7424/1/*.png,-1,-1,Signer05,MONTAG WECHSELHAFT MEHR KUEHL,am montag wieder wechselhaft und kühler
05December_2011_Monday_heute-7440,05December_2011_Monday_heute-7440/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,schönen abend noch
02February_2011_Wednesday_tagesschau-7452,02February_2011_Wednesday_tagesschau-7452/1/*.png,-1,-1,Signer08,IN-KOMMEND MEHR MILD,in den nächsten tagen wird es noch milder
09February_2011_Wednesday_heute-7533,09February_2011_Wednesday_heute-7533/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
09February_2011_Wednesday_heute-7546,09February_2011_Wednesday_heute-7546/1/*.png,-1,-1,Signer07,SCHOEN ABEND poss-EUCH MACHEN GUT,ihnen einen schönen abend und machen sie es gut
09December_2010_Thursday_heute-7547,09December_2010_Thursday_heute-7547/1/*.png,-1,-1,Signer07,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
09December_2010_Thursday_heute-7563,09December_2010_Thursday_heute-7563/1/*.png,-1,-1,Signer07,SCHOEN ABEND WUENSCHEN MACHEN GUT,ihnen einen schönen abend und machen sie es gut
30March_2010_Tuesday_heute-7564,30March_2010_Tuesday_heute-7564/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER BEGRUESSEN GUT ABEND,liebe zuschauer guten abend
30March_2010_Tuesday_heute-7578,30March_2010_Tuesday_heute-7578/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,und jetzt wünsche ich ihnen noch einen schönen abend
03August_2010_Tuesday_heute-7608,03August_2010_Tuesday_heute-7608/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER BEGRUESSEN GUT ABEND,liebe zuschauer guten abend
03August_2010_Tuesday_heute-7622,03August_2010_Tuesday_heute-7622/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT MITTEILEN,damit wünsche ich ihnen jetzt einen schönen abend
12April_2010_Monday_heute-7682,12April_2010_Monday_heute-7682/1/*.png,-1,-1,Signer01,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
12April_2010_Monday_heute-7697,12April_2010_Monday_heute-7697/1/*.png,-1,-1,Signer01,SCHOEN ABEND TSCHUESS,jetzt wünsche ich ihnen noch einen schönen abend
07December_2011_Wednesday_heute-7795,07December_2011_Wednesday_heute-7795/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
20July_2010_Tuesday_tagesschau-7882,20July_2010_Tuesday_tagesschau-7882/1/*.png,-1,-1,Signer03,WIND SCHWACH MAESSIG WEHEN,der wind weht schwach bis mäßig an der nordsee auch frisch
15February_2011_Tuesday_heute-7915,15February_2011_Tuesday_heute-7915/1/*.png,-1,-1,Signer08,SCHOEN ABEND TSCHUESS,damit wünsche ich ihnen jetzt noch einen schönen abend
10December_2009_Thursday_heute-7929,10December_2009_Thursday_heute-7929/1/*.png,-1,-1,Signer02,ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
10December_2009_Thursday_heute-7948,10December_2009_Thursday_heute-7948/1/*.png,-1,-1,Signer02,SCHOEN ABEND TSCHUESS,ihnen noch einen schönen abend und machen sie es gut
28January_2013_Monday_heute-7992,28January_2013_Monday_heute-7992/1/*.png,-1,-1,Signer01,ABEND poss-EUCH,guten abend liebe zuschauer
11January_2011_Tuesday_tagesschau-8025,11January_2011_Tuesday_tagesschau-8025/1/*.png,-1,-1,Signer05,WIND SCHWACH MAESSIG WEHEN,der wind weht meist mäßig im norden frisch
29November_2011_Tuesday_heute-8084,29November_2011_Tuesday_heute-8084/1/*.png,-1,-1,Signer07,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
07April_2011_Thursday_tagesschau-8106,07April_2011_Thursday_tagesschau-8106/1/*.png,-1,-1,Signer01,SONNTAG VIEL SONNE,am sonntag viel sonnenschein
11January_2011_Tuesday_heute-8181,11January_2011_Tuesday_heute-8181/1/*.png,-1,-1,Signer05,SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
25July_2011_Monday_heute-8221,25July_2011_Monday_heute-8221/1/*.png,-1,-1,Signer08,GUT ABEND LIEB ZUSCHAUER,guten abend liebe zuschauer
14September_2010_Tuesday_heute-8235,14September_2010_Tuesday_heute-8235/1/*.png,-1,-1,Signer05,ABEND LIEB ZUSCHAUER poss-EUCH,guten abend liebe zuschauer
09June_2010_Wednesday_heute-8253,09June_2010_Wednesday_heute-8253/1/*.png,-1,-1,Signer08,LIEB ZUSCHAUER GUT ABEND,liebe zuschauer guten abend
16June_2010_Wednesday_heute-8311,16June_2010_Wednesday_heute-8311/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
16June_2010_Wednesday_heute-8328,16June_2010_Wednesday_heute-8328/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT WUENSCHEN,ihnen einen schönen abend und machen sie es gut
02December_2010_Thursday_heute-8452,02December_2010_Thursday_heute-8452/1/*.png,-1,-1,Signer07,SCHOEN ABEND WUENSCHEN MACHEN GUT,ihnen einen schönen abend und machen sie es gut
13August_2009_Thursday_tagesschau-8484,13August_2009_Thursday_tagesschau-8484/1/*.png,-1,-1,Signer05,ORT NEBEL,örtlich bildet sich nebel
07October_2010_Thursday_heute-8558,07October_2010_Thursday_heute-8558/1/*.png,-1,-1,Signer05,GUT ABEND LIEB DU ZUSCHAUER,guten abend liebe zuschauer
07October_2010_Thursday_heute-8573,07October_2010_Thursday_heute-8573/1/*.png,-1,-1,Signer05,SCHOEN ABEND MACHEN GUT poss-EUCH,ihnen einen schönen abend und machen sie es gut
30July_2011_Saturday_tagesschau-8590,30July_2011_Saturday_tagesschau-8590/1/*.png,-1,-1,Signer01,SCHON WARNUNG DEUTSCH WETTER DIENST,es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes
29April_2010_Thursday_heute-8615,29April_2010_Thursday_heute-8615/1/*.png,-1,-1,Signer03,GUT ABEND BEGRUESSEN,guten abend liebe zuschauer
05July_2010_Monday_heute-8686,05July_2010_Monday_heute-8686/1/*.png,-1,-1,Signer01,ABEND LIEB ZUSCHAUER BEGRUESSEN,guten abend liebe zuschauer
05July_2010_Monday_heute-8699,05July_2010_Monday_heute-8699/1/*.png,-1,-1,Signer01,WIND WEHEN,und es weht ein frischer kräftiger nordwestwind dazu
05July_2010_Monday_heute-8702,05July_2010_Monday_heute-8702/1/*.png,-1,-1,Signer01,SCHOEN ABEND MACHEN GUT TSCHUESS,ich wünsche noch einen schönen abend und machen sie es gut
24January_2010_Sunday_tagesschau-8707,24January_2010_Sunday_tagesschau-8707/1/*.png,-1,-1,Signer04,VORSICHT GLATT,vorsicht glätte
23March_2011_Wednesday_tagesschau-8749,23March_2011_Wednesday_tagesschau-8749/1/*.png,-1,-1,Signer05,ORT NEBEL,örtlich bildet sich nebel
